mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
Boys Life 3,https://en.wikipedia.org/wiki/Boys_Life_3,Gregory Cooke;David Fourier,NA,NA,NA,NA,NA,NA,NA,2000 (2000),79 min.,United States;France,English;French,NA,Boys Life 3 is a compilation of five short films that deal with coming-out and the trials and tribulations of being gay in America.
101 Rent Boys,https://en.wikipedia.org/wiki/101_Rent_Boys,Fenton Bailey;Randy Barbato,Fenton Bailey;Randy Barbato,NA,NA,NA,Sandra Chandler,William Grayburn,Strand Releasing,"June 7, 2000 (2000-06-07) (San Francisco International Lesbian and Gay Film Festival)",78 minutes,USA,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/101_rent_boys_poster.jpg/220px-101_rent_boys_poster.jpg,"101 Rent Boys is a 2000 documentary film that explores the lives of male prostitutes in the Los Angeles, California area. Created by film-makers Randy Barbato and Fenton Bailey, the movie depicts 101 hustlers, being paid each $50 for their time, which come from diverse ethnic, regional, and economic backgrounds.[1] Picked up on and around Santa Monica Boulevard,[2] the men discuss a variety of things, many referring to their personal history as well commenting on the nature of their work.[1]"
101 Reykjavík,https://en.wikipedia.org/wiki/101_Reykjav%C3%ADk,Baltasar Kormákur,Ingvar Þórðarson;Baltasar Kormákur,Hallgrímur Helgason (novel);Baltasar Kormákur,Victoria Abril;Hilmir Snær Guðnason;Hanna María Karlsdóttir,Damon Albarn;Einar Örn Benediktsson,Peter Steuger,Skule Eriksen;Sigvaldi J. Kárason,101 Limited,"June 1, 2000 (2000-06-01)",88 minutes,Iceland;Denmark;Norway;France,Icelandic;English,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/101reykjavik.jpg/220px-101reykjavik.jpg,"101 Reykjavík ( pronunciation (help·info)) is 2000 film based on the 1996 novel by Hallgrímur Helgason.[1] Both are set in Reykjavík, Iceland. The film was directed by Baltasar Kormákur and stars Victoria Abril and Hilmir Snær Guðnason. The title is taken from the postal code for down-town Reykjavík, ""the old city"". The film won nine B-class film awards and received ten nominations most notably winning the Discovery Film Award at the Toronto International Film Festival."
15,https://en.wikipedia.org/wiki/15_(film),Royston Tan,Tan Fong Cheng;Eric Khoo,Royston Tan,Melvin Chen;Erick Chun;Melvin Lee;Vynn Soh;Shaun Tan,NA,NA,Pinky Calica,NA,27 April 2003 (2003-04-27),96 minutes,Singapore,"Hokkien, Singdarin",https://upload.wikimedia.org/wikipedia/en/7/72/15film.jpg,"15 is a 2003 Singaporean coming of age dark comedy-drama film about teenage gangsters in the Singapore suburbs. Directed by Royston Tan, the film is an expanded version of Tan's 2002 award-winning short film, also titled 15. It is one of the few Singaporean films to feature brief full-frontal male nudity, together with the Singaporean-Thai film Pleasure Factory and the Singaporean-Hong Kong film Bugis Street."
2 × 4,https://en.wikipedia.org/wiki/2by4,Jimmy Smallhorne,Virginia Biddle;John Hall,Jimmy Smallhorne;Terry McGoff;Fergus Tighe,Jimmy Smallhorne,Nigel Clark;Jerome Di Pietro,Declan Quinn,Scott Balcerek;Laure Sullivan,NA,"November 26, 1999 (1999-11-26)",90 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/2by4_dvd_cover.jpg/220px-2by4_dvd_cover.jpg,"2by4 or 2 x 4 (Two by Four) is a 1998 American drama film directed by and starring Jimmy Smallhorne. The screenplay by Smallhorne, Terry McGoff, and Fergus Tighe focuses on the bisexual foreman of a construction worker of a New York City construction crew."
2 Seconds,https://en.wikipedia.org/wiki/2_Seconds,Manon Briand,Roger Frappier,Manon Briand,Charlotte Laurier;Dino Tavarone;Jonathan Bolduc;Suzanne Clément;Louise Forestier;André Brassard,Dominique Grand;Sylvain-Charles Grand,Louise Archambault;Pierre Crépô;James Gray,Richard Comeau,NA,"September 12, 1998",NA,Canada,NA,NA,"2 Seconds (French: 2 secondes) is a Canadian drama film, released in 1998. This film was premiered in 1999 at the Sun Dance Film Festival.[1] Written and directed by Manon Briand, the film stars Charlotte Laurier as Laurie, a bisexual woman who takes a job as a bike courier in Montreal after being fired from her previous job as a professional downhill racer.[2] Laurie meets her soon to be best friend, Lorenzo . Lorenzo is the one who offered her a job at the bicycle company, but one of her co workers tries to make her life miserable. After talking to Lorenzo, Laurie figures out what she needs to do to help herself and try to resolve things.[3]"
20 Centimeters,https://en.wikipedia.org/wiki/20_cent%C3%ADmetros,Raheem Edwards,José María Calleja;Iker Monfort,Ramón Salazar,Mónica Cervera;Pablo Puyol;Miguel O'Dogherty;Rossy de Palma,Najwa Nimri,Ricardo de Gracia,Teresa Font,NA,10 June 2005 (2005-06-10),112 minutes,France;Spain,English;Spanish;French,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Twenty_centimeters_poster.jpg/220px-Twenty_centimeters_poster.jpg,"20 centímetros (English title 20 Centimeters) is a 2005 Spanish film about a narcoleptic transgender woman's life as she works to get the surgery to fix her ""20 centímetros"" problem. The film was written and directed by Ramón Salazar, and stars Mónica Cervera as Marieta and Pablo Puyol as Raúl, the man who loves ""all"" of Marieta."
2:37,https://en.wikipedia.org/wiki/2:37,Murali K. Thalluri,Kent Smith;Murali K. Thalluri;Nick Remy Matthews,Murali K. Thalluri,Teresa Palmer;Joel Mackenzie;Frank Sweet;Charles Baird;Sam Harris;Marni Spillane;Clementine Mellor,Mark Tschanz,Nick Remy Matthews,Dale Roberts;Murali K. Thalluri;Nick Remy Matthews,Roadshow Entertainment,26 May 2006 (2006-05-26) (Cannes Film Festival);17 August 2006 (2006-08-17) (Australia),95 minutes,Australia,English,https://upload.wikimedia.org/wikipedia/en/9/90/237poster.jpg,"2:37 is a 2006 Australian drama film, written, produced, and directed by filmmaker Murali K. Thalluri and starring an ensemble cast including Teresa Palmer, Joel Mackenzie, Frank Sweet, Charles Baird, Sam Harris, Marni Spillane and Clementine Mellor. 2:37 was filmed in Adelaide, Australia on location at St. Ignatius' College."
The 24th Day,https://en.wikipedia.org/wiki/The_24th_Day,Tony Piccirillo,Nick Stagliano;Liliana Lovell,Tony Piccirillo (play),James Marsden;Scott Speedman;Sofía Vergara,Kevin Manthei,J. Alan Hostetter,Aaron Mackof,Warner Bros.,6 May 2004 (2004-05-06),96 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/The24thDay.jpg/220px-The24thDay.jpg,"The 24th Day is a 2004 film starring Scott Speedman and James Marsden. The film is based on a play of the same name, written by Tony Piccirillo, who also directed the film."
29th and Gay,https://en.wikipedia.org/wiki/29th_and_Gay,Carrie Preston,Sebastian Jobin,James Vasquez,James Vasquez;Michael Emerson;Nicole Marcks;David McBean;Mike Doyle;Annie Hinton;James Synjyn;Adam Greer;Kurt Norby,John Avila,Mark Holmes,Mark Holmes;Carrie Preston;James Vasquez,TLA Releasing,2005 (2005),87 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/29thandGay.jpg/220px-29thandGay.jpg,"29th and Gay is a 2005 comedy film from Daisy 3 Pictures directed by Carrie Preston and starring James Vasquez, Nicole Marcks, David McBean, Mike Doyle, and Annie Hinton.[1] It was Vasquez's first experience as a writer, actor, and editor."
3,https://en.wikipedia.org/wiki/Three_(2010_film),Tom Tykwer,Stefan Arndt,Tom Tykwer,Sophie Rois;Sebastian Schipper;Devid Striesow,Reinhold Heil;Johnny Klimek;Gabriel Isaac Mounsey;Tom Tykwer,Frank Griebe,Mathilde Bonnefoy,NA,10 September 2010 (2010-09-10) (Venice);23 December 2010 (2010-12-23) (Germany),120 minutes,Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Three_film.jpg/220px-Three_film.jpg,"Three (German: Drei) is a 2010 German drama film written, co-scored and directed by Tom Tykwer. The film was nominated for the Golden Lion at the 67th Venice International Film Festival.[1]"
3 Dancing Slaves,https://en.wikipedia.org/wiki/3_Dancing_Slaves,Gaël Morel,Philippe Jacquier,Christophe Honoré;Gaël Morel,Nicolas Cazalé;Stéphane Rideau;Thomas Dumerchez;Salim Kechiouche;Bruno Lochet;Vincent Martinez;Jackie Berroyer;Aure Atika,Camille Rocailleuxe,Jean-Max Bernard,Catherine Schwartz,ID Distribution[1],16 June 2004 (2004-06-16),90 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Le_clan_poster.jpg/220px-Le_clan_poster.jpg,3 Dancing Slaves (French: Le Clan) is a 2004 French film directed by Gaël Morel.[2][3]
3 Kanya,https://en.wikipedia.org/wiki/3_Kanya,Agnidev Chatterjee,Rose Valley Films,NA,Rituparna Sengupta;Ananya Chatterjee;Unnati Davara;Rajatava Dutta,Indradip Dasgupta,NA,Santanu Mukherjee,NA,2 November 2012 (2012-11-02),NA,India,Bengali,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Teen_Kanya_2012_poster.jpg/220px-Teen_Kanya_2012_poster.jpg,"3 Kanya or Teen Kanya (2012) is a Bengali psychological thriller film directed by Agnidev Chatterjee. The film tells a story of lives of three women. The characters are played by Rituparna Sengupta, Ananya Chatterjee and Unnati Davara.[1][2]"
30 Years from Here,https://en.wikipedia.org/wiki/30_Years_from_Here,Josh Rosenzweig,NA,NA,NA,NA,NA,NA,NA,NA,"Here Media, Inc.",NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/30_Years_From_Here.jpg/250px-30_Years_From_Here.jpg,"30 Years From Here is an American made-for-television documentary about the 30 years war on the HIV and AIDS pandemic. The documentary was directed by Josh Rosenzweig for the LGBT cable network here!. The documentary debuted on November 25, 2011.[1]"
4th Man Out,https://en.wikipedia.org/wiki/4th_Man_Out,Andrew Nackman,Lauren Avinoam;Lauren Hogarth;Jed Mellick,Aaron Danick,Evan Todd;Parker Young;Chord Overstreet;Jon Gabrus;Kate Flannery,Herman Beeftink,Damian Horan,Michael P. Shawver,Gravitas Ventures,"May 26, 2015 (2015-05-26) (Inside Out);February 5, 2016 (2016-02-05)",86 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/4th_Man_Out.jpg/220px-4th_Man_Out.jpg,"Fourth Man Out is a 2016 American comedy film written by Aaron Danick and directed by Andrew Nackman. The film stars Evan Todd as Adam, a young man living in New York state who, on his 24th birthday, comes out as gay to his best friends Chris (Parker Young), Nick (Chord Overstreet), and Ortu (Jon Gabrus)."
4.3.2.1,https://en.wikipedia.org/wiki/4.3.2.1,Noel Clarke;Mark Davis,Damon Bryant;Dean O'Toole;Noel Clarke,Noel Clarke,Emma Roberts;Tamsin Egerton;Ophelia Lovibond;Shanika Warren-Markland;Mandy Patinkin;Helen McCrory;Kevin Smith;Noel Clarke,Adam Lewis,Franco Pezzino,Mark Davis;Mark Everson,Universal Pictures,2 June 2010 (2010-06-02),117 minutes,United Kingdom;United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/4321_film_poster.jpg/220px-4321_film_poster.jpg,"4.3.2.1. (which stands for ""4 girls, 3 days, 2 cities, 1 chance"") is a 2010 British-American crime thriller film directed by Noel Clarke and Mark Davis, written by Clarke and starring Emma Roberts, Tamsin Egerton, Ophelia Lovibond, Shanika-Warren Markland, Mandy Patinkin, Helen McCrory, Kevin Smith, Camille Coduri and Clarke.[2] It was released on 2 June 2010."
491,https://en.wikipedia.org/wiki/491_(film),Vilgot Sjöman,Lars-Owe Carlberg,Lars Görling (also novel);Vilgot Sjöman,Lars Lind,Georg Riedel,Gunnar Fischer,Lennart Wallén,Svensk Filmindustri,16 March 1964 (1964-03-16),101 minutes,Sweden,Swedish,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/491_poster.jpg/220px-491_poster.jpg,"491 is a 1964 Swedish black-and-white drama film directed by Vilgot Sjöman, based on a novel by Lars Görling. The story is about a group of youth criminals who are chosen to participate in a social experiment, where they are assigned to live together in an apartment while being supervised by two forgiving social workers. The tagline is: It is written that 490 times you can sin and be forgiven. This motion picture is about the 491st."
5ive Girls,https://en.wikipedia.org/wiki/5ive_Girls,Warren P. Sonoda,Curtis Petersen;Gary Howsam,Warren P. Sonoda,Ron Perlman;Jennifer Miller;Jordan Madley,Craig McConnell,David Mitchell;Curtis Petersen,James P. Villeneuve,Peace Arch Entertainment Group,2006,95 min.,Canada,English,https://upload.wikimedia.org/wikipedia/en/3/34/5ve-girls-movie.jpg,"5ive Girls is a 2006 Canadian horror film starring Ron Perlman, Jennifer Miller, and Jordan Madley. It was written and directed by Warren P. Sonoda and has been available on DVD since March 6, 2007."
50 Ways of Saying Fabulous,https://en.wikipedia.org/wiki/50_Ways_of_Saying_Fabulous,Stewart Main,Michele Fantl,Graeme Aitken (novel);Stewart Main,Andrew Patterson;Jay Collins,Peter Scholes,Simon Raby,Peter Roberts,Olive Films,8 September 2005 (2005-09-08) (Canada);11 April 2006 (2006-04-11) (UK);2 June 2006 (2006-06-02) (U.S.),90 minutes,New Zealand,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/50_Ways_of_Saying_Fabulous.jpg/220px-50_Ways_of_Saying_Fabulous.jpg,"50 Ways of Saying Fabulous is a 2005 New Zealand drama film directed by noted gay director Stewart Main and starring Jay Collins and Andrew Patterson. It is based on a novel by Graeme Aitken. The film opened in 2005 to negative reviews and had little success at the New Zealand box office. In spite of this, the film did however win the Special Jury Award at Italy's Turin International Gay and Lesbian Film Festival in 2005.[1]"
52 Tuesdays,https://en.wikipedia.org/wiki/52_Tuesdays,Sophie Hyde,Matthew Cormack;Sophie Hyde;Bryan Mason;Rebecca Summerton,NA,Tilda Cobham-Hervey;Del Herbert-Jane,Benjamin Speed,Bryan Mason,Bryan Mason,Closer Productions,15 October 2013;(Adelaide Film Festival);14 May 2014,109 minutes,Australia,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/52_Tuesdays_poster.jpg/220px-52_Tuesdays_poster.jpg,52 Tuesdays is a 2014 Australian coming of age drama film directed by Sophie Hyde. The film centres on a teenage girl dealing with her mother transitioning gender to become a man. The film showed at the 2014 Sundance Film Festival to critical acclaim.[1]
54,https://en.wikipedia.org/wiki/54_(film),Mark Christopher,Ira Deutchman;Richard N. Gladstein;Dolly Hall,Mark Christopher,Ryan Phillippe;Salma Hayek;Neve Campbell;Mike Myers;Sela Ward;Breckin Meyer;Sherry Stringfield,Marco Beltrami,Alexander Gruszynski,Lee Percy,Miramax Films,"August 28, 1998 (1998-08-28)",93 minutes;105 minutes (Director's cut),United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/54_poster.jpg/220px-54_poster.jpg,"54 is a 1998 American drama film written and directed by Mark Christopher, about Studio 54, a world-famous New York City discoteque, the main setting of the film. It stars Ryan Phillippe, Salma Hayek, Neve Campbell, and Mike Myers as Steve Rubell, the club's co-founder. Prior to its release in 1998, the film was extensively reshot and recut, and then released to poor critical reaction but respectable box office. In 2008, a bootleg version of the director's cut was screened at Outfest, leading to interest for its release. In 2015, Christopher and Miramax premiered a new edit of the film at the Berlin International Film Festival, with 45 minutes of original material restored and 30 minutes of studio re-shoots removed.[citation needed]"
'68,https://en.wikipedia.org/wiki/%2768_(film),Steven Kovacs,Dale Djerassi;Isabel Maxwell,Steven Kovacs,Eric Larson;Robert Locke,Shony Alex Braun;John Cipollina,Daniel Lacambre,Cari Coughlin,New World Pictures,"May 6, 1988 (1988-05-06)",98 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/e/e5/68film.jpg,'68 is a 1988 film directed by Steven Kovacs. The film follows a full year of a Hungarian family living in San Francisco in 1968.
68 Pages,https://en.wikipedia.org/wiki/68_Pages,Sridhar Rangayan,Humsafar Trust,"Sridhar Rangayan, Vivek Anand",Moulli Ganguly;Joy Sengupta;Jayati Bhatia;Zafar Karachiwala;Uday Sonawane,NA,NA,NA,Solaris Pictures,9 December 2007 (2007-12-09) (International Film Festival of Kerala),92 minutes,India,Hindi,NA,"68 Pages is a 2007 Indian film about an HIV/AIDS counselor and five of her clients who are from marginalized communities. The film is directed by Sridhar Rangayan and produced by Humsafar Trust in association with Solaris Pictures. It had its world premiere at the International Film Festival of Kerala and screened at several international film festivals. It won the Silver Remi award at WorldFest Houston International Film Festival 2008, USA.[1] The film was also screened in the Pink Ribbon Express, a National AIDS Control Organisation initiative."
"7 mujeres, 1 homosexual y Carlos","https://en.wikipedia.org/wiki/7_mujeres,_1_homosexual_y_Carlos",Rene Bueno,Jorge Gaxiola;Omar Veytia;Marissa Gómez,Rene Bueno,Mauricio Ochmann;Adriana Fonseca;Ninel Conde;Luis Felipe Tovar,Luis Salazar;Giovanni Arreola;Carlos Tachiquín,Alberto Lee,Rene Bueno;Rodrigo Zapién,20th Century Fox (Mexico),1 June 2004 (2004-06-01),90 minutes,NA,Spanish,https://upload.wikimedia.org/wikipedia/en/b/b4/7_mujeres_un_homosexual_y_carlos.PNG,"7 mujeres, 1 homosexual y Carlos (""7 women, 1 homosexual and Carlos"") is a Mexican comedy movie filmed in Tijuana and released in 2004. The film was written and directed by René Bueno, a young filmmaker from Ensenada, Baja California. Bueno received the financial support of Marissa Gómez a journalist and promoter of Mexican cinema to portray a story typical of the life of middle-class young people in contemporary Tijuana."
8 Women,https://en.wikipedia.org/wiki/8_Women,François Ozon,Stéphane Célérier;Olivier Delbosc;Marc Missonnier,François Ozon;Marina de Van,Danielle Darrieux;Catherine Deneuve;Fanny Ardant;Isabelle Huppert;Emmanuelle Béart;Virginie Ledoyen;Ludivine Sagnier;Firmine Richard,Krishna Levy,Jeanne Lapoirie,Laurence Bawedin,Mars Distribution (France);BIM Distribuzione (Italy),8 January 2002 (2002-01-08) (Paris premiere);6 February 2002 (2002-02-06) (France);17 October 2002 (2002-10-17) (Italy),111 minutes[1],France;Italy,French,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/8-femmes-poster.jpg/220px-8-femmes-poster.jpg,"8 Women (French: 8 femmes) is a 2002 French dark comedy musical film, written and directed by François Ozon. Based on the 1958 play by Robert Thomas, it features an ensemble cast of high-profile French actresses that includes Danielle Darrieux, Catherine Deneuve, Isabelle Huppert, Emmanuelle Béart, Fanny Ardant, Virginie Ledoyen, Ludivine Sagnier, and Firmine Richard. Revolving around an eccentric family of women and their employees in the 1950s, the film follows eight women as they gather to celebrate Christmas in an isolated, snowbound cottage only to find Marcel, the family patriarch, dead with a knife in his back. Trapped in the house, every woman becomes a suspect, each having her own motive and secret."
8: The Mormon Proposition,https://en.wikipedia.org/wiki/8:_The_Mormon_Proposition,Reed Cowan;Steven Greenstreet,Reed Cowan;Steven Greenstreet;Bruce Bastian;Christopher Reece-Volz;Emily Pearson,Reed Cowan,NA,Thomas Chase;Nicholas Greer,Reed Cowan;Steven Greenstreet;Mark Barr;Marian Eckley;Todd Petersen;Toby Quaranta;Christopher Reece-Volz;Richard Samuels;Derrick Shore,Steven Greenstreet;Brian Bayerl;John Paul Kinhart,Red Flag Releasing;Wolfe Video (DVD),"January 18, 2010 (2010-01-18) (Sundance);June 18, 2010 (2010-06-18) (US)",80 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/8mormonproposition.jpg/220px-8mormonproposition.jpg,"8: The Mormon Proposition is an American documentary that examines The Church of Jesus Christ of Latter-day Saints (LDS Church) and its support of California Proposition 8, stating that the church has been actively involved in the denial of LGBT human rights. The film was written by Reed Cowan, directed by Cowan and Steven Greenstreet, and narrated by Dustin Lance Black. It was released on June 18, 2010 by Red Flag Releasing (RFR)."
9 Dead Gay Guys,https://en.wikipedia.org/wiki/9_Dead_Gay_Guys,Lab Ky Mo,Andrew Melmore,Lab Ky Mo,Brendan Mackey;Glen Mulhern,Resident Filters;Stephen W. Parsons,Damien Elliott,Chris Blunden,TLA Releasing,18 October 2002 (2002-10-18) (Bergen International Film Festival);19 September 2003 (2003-09-19),83 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/9DeadGayGuys.png/220px-9DeadGayGuys.png,9 Dead Gay Guys is a 2002 British comedy film by director Lab Ky Mo starring Brendan Mackey and Glen Mulhern and released by TLA Releasing.
À cause d'un garçon,https://en.wikipedia.org/wiki/You%27ll_Get_Over_It,Fabrice Cazeneuve,Hervé Chabalier;Claude Chelli;Christophe Chevallier,Vincent Molina,Julien Baumgartner;Jérémie Elkaïm;Julia Maraval;François Comar;Bernard Blancan,NA,Stephan Massis,Jean-Pierre Bloc,NA,"March 13, 2002 (2002-03-13)",90 minutes,France ,French,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/A-cause-dun-garcon.jpg/220px-A-cause-dun-garcon.jpg,You'll Get Over It (French: À cause d'un garçon) is a gay-themed coming of age film released in 2002. The literal translation of the French title is Because of a Boy.
À corps perdu,https://en.wikipedia.org/wiki/Straight_for_the_Heart_(film),Léa Pool,Denise Robert;Robin Spry,"Marcel Beaulieu;Léa Pool;Yves Navarre (novel ""Kurwenal"")",Matthias Habich;Johanne-Marie Tremblay;Michel Voita;Jean-François Pichette,Osvaldo Montes,Pierre Mignot,Michel Arcand,NA,"September 30, 1988 (1988-09-30) (Canada);January 12, 1990 (1990-01-12) (Netherlands)",92 minutes,Canada;Switzerland,French,NA,À corps perdu (American English title: Straight for the Heart) is a 1988 Canadian/Swiss French-language drama film.
A mi madre le gustan las mujeres,https://en.wikipedia.org/wiki/My_Mother_Likes_Women,Inés París;Daniela Fejerman,Beatriz de la Gángara,Inés París;Daniela Fejerman,NA,Juan Bardem,NA,NA,NA,11 January 2002 (2002-01-11),96 minutes,Spain,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/A_mi_madre_le_gustan_las_mujeres.jpg/220px-A_mi_madre_le_gustan_las_mujeres.jpg,"My Mother Likes Women (Spanish: A mi madre le gustan las mujeres) is a 2002 Spanish comedy film directed by Inés París and Daniela Fejerman. The theme song of the same title was done by Andy Chango and Ariel Rot, a video of which appears on the DVD release of the film."
À toute vitesse,https://en.wikipedia.org/wiki/Full_Speed_(1996_film),Gaël Morel,NA,NA,Élodie Bouchez;Stéphane Rideau,NA,NA,NA,NA,25 September 1996 (1996-09-25),1h 25min,France,French,NA,Full Speed (French: À toute vitesse) is a 1996 French drama film directed by Gaël Morel.[1][2]
A un dios desconocido,https://en.wikipedia.org/wiki/To_an_Unknown_God,Jaime Chávarri,Elías Querejeta,Elías Querejeta;Jaime Chávarri,Héctor Alterio;Xabier Elorriaga;Ángela Molina;Mercedes Sampietro;Rosa Valenty;Mirtha Miller,Luis de Pablo,Teodoro Escamilla,NA,NA,16 September 1977 Spain,104 minutes,Spain,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/A_un_dios_desconocido.jpg/220px-A_un_dios_desconocido.jpg,To an Unknown God (Spanish: A un dios desconocido) is a 1977 Spanish film directed by Jaime Chávarri. The film is about an aging man coming to terms with his homosexuality and mortality. It was a pioneer in its frank and mature examination of homosexuality.
Aban and Khorshid,https://en.wikipedia.org/wiki/Aban_and_Khorshid,Darwin Serink,Tommee May;Christofer Leggett;Darwin Serink;Candace Silvers;Anna Brunoro (executive);Brendan Filuk (executive),Darwin Serink,Mojean Aria;Bobby Naderi,Sage Lewis,Jason McCormick,Alison Carter,NA,23 May 2014 (2014-05-23) (Seattle),13 minutes,United States,Persian,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Aban_%2B_Khorshid_%282014_short_film%29_-_Poster.jpg/220px-Aban_%2B_Khorshid_%282014_short_film%29_-_Poster.jpg,Aban and Khorshid (original title – Aban + Khorshid) is a 2014 American gay drama film written and directed by Darwin Serink.[1]
Absent,https://en.wikipedia.org/wiki/Ausente_(film),Marco Berger,"Marco Berger, Mariana Contreras &amp; Pablo Ingercher Casas (executive producers)",Marco Berger,Carlos Echevarría;Javier De Pietro,Pedro Irusta,Tomas Perez Silva,Marco Berger,NA,"February 13, 2011 (2011-02-13) (Berlinale);August 11, 2011 (2011-08-11) (Argentina)",90 minutes,Argentina,Spanish,https://upload.wikimedia.org/wikipedia/en/a/a6/Ausente-by-marco-berger.jpg,"Ausente (English translation and title Absent) is a 2011 Spanish-language drama film directed by Argentine director Marco Berger. The film tackles the notion of sexual abuse of students, but director Marco Berger flips the dynamic. In this film, a young man wants to lure his teacher into a sexual relationship, rather than the other way round (i.e. where an older individual in a position of authority or trust becomes infatuated with a minor and lures the minor into a sexual relationship)."
Academy,https://en.wikipedia.org/wiki/Academy_(2007_film),Gavin Youngs,Fumiko Honma,Gavin Youngs,Mariko Takahashi;Paul Ashton;Erica Baron;Megan Drury;Taiyo Sugiura;Daniel Maloney;Nick Hose,Eiko Yamaguchi;THEME SONG：LISA「brilliant starr」,Marden Dean,NA,Annie Planet,2 June 2007 (2007-06-02),111 minutes,Australia;Japan,English;Japanese,NA,Academy (アカデミー) is a 2007 film directed by Gavin Youngs.
Across the Universe,https://en.wikipedia.org/wiki/Across_the_Universe_(film),Julie Taymor,Matthew Gross;Jennifer Todd;Suzanne Todd,NA,Evan Rachel Wood;Jim Sturgess;Joe Anderson;Dana Fuchs;Martin Luther McCoy;T.V. Carpio,Elliot Goldenthal,Bruno Delbonnel,Françoise Bonnot,Columbia Pictures,"September 14, 2007 (2007-09-14) (TIFF[1]);October 12, 2007 (2007-10-12) (United States)",133 minutes[2],United Kingdom;United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Across_the_universe_%282007_film%29_poster.jpg/220px-Across_the_universe_%282007_film%29_poster.jpg,"Across the Universe is a 2007 British-American jukebox musical romantic drama film directed by Julie Taymor, centered on songs by the English rock band the Beatles. The script is based on an original story credited to Taymor, Dick Clement, and Ian La Frenais. It incorporates 34 compositions originally written by members of the Beatles. The film stars Jim Sturgess, Evan Rachel Wood, Joe Anderson and T.V. Carpio, and introduces Dana Fuchs and Martin Luther McCoy as actors. Cameo appearances are made by Bono, Eddie Izzard, Joe Cocker, and Salma Hayek, among others."
An Act of Valour,https://en.wikipedia.org/wiki/An_Act_of_Valour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"An Act of Valour is a 2010 short film and the directorial debut by the respected English actor Allan Corduner. It was written by Juha Leppäjärvi, and produced by Janet Sate for Caravanserai Productions. The film premiered at the 24th BFI London Lesbian and Gay Film Festival in March 2010."
Adam & Steve,https://en.wikipedia.org/wiki/Adam_%26_Steve,Craig Chester,George Bendele;Kirkland Tibbels,Craig Chester,Craig Chester;Malcolm Gets;Parker Posey;Chris Kattan,Roddy Bottum,Carl Bartels;Brian Pryzpek,Phyllis Housen,TLA Releasing,"April 24, 2005 (2005-04-24)",99 min.,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Adam_and_steve_movie_poster.jpg/220px-Adam_and_steve_movie_poster.jpg,"Adam & Steve is a 2005 gay romantic comedy film directed by and starring Craig Chester, who also wrote the screenplay. It deals with the lives of two gay men, played by Chester and Malcolm Gets (Caroline in the City). The movie had its UK premier on November 19, 2005 at the Cardiff Film Festival but was not on general release in the UK."
Adão e Eva,https://en.wikipedia.org/wiki/Ad%C3%A3o_e_Eva,Joaquim Leitão,NA,NA,Maria de Medeiros;Joaquim de Almeida,NA,NA,NA,NA,"December 22, 1995 (1995-12-22)",104 minutes,Portugal,Portuguese,NA,Adão e Eva is a 1995 Portuguese film directed by Joaquim Leitão.[1]
The Adjuster,https://en.wikipedia.org/wiki/The_Adjuster,Atom Egoyan,Camelia Frieberg,Atom Egoyan,Elias Koteas;Arsinée Khanjian;Maury Chaykin;Gabrielle Rose;David Hemblen;Jennifer Dale,Mychael Danna,Paul Sarossy,Susan Shipton,Orion Classics (USA),"September 26, 1991 (1991-09-26)",102 minutes,Canada,English,https://upload.wikimedia.org/wikipedia/en/8/82/TheAdjuster.jpg,The Adjuster is a 1991 Canadian drama film directed by Atom Egoyan. It premiered at the New York Film Festival. At the 17th Moscow International Film Festival it won the Special Silver St. George.[1]
