mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
Desire Street,https://en.wikipedia.org/wiki/Desire_Street_(film),Roberto F. Canuto;Xu Xiaoxi,Andrew Ahn,Roberto F. Canuto;Xu Xiaoxi,Alexandra Smothers;Alejandra Walker;Ellen Clifford;Javier Lopez;Kjord Davis;Jesus Guevara;Manuel Domenech;Roman Marshanski;Charles Wells,Andrea Centazzo,Roberto F. Canuto;Xu Xiaoxi,Roberto F. Canuto;Xu Xiaoxi,NA,"June 14, 2011 (2011-06-14) (Mix Mexico International Film Festival)",82 minutes,Spain;China;United States,English;Spanish,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Desire_Street_Poster_%28dir._Roberto_F._Canuto_%26_Xu_Xiaoxi%29.jpg/215px-Desire_Street_Poster_%28dir._Roberto_F._Canuto_%26_Xu_Xiaoxi%29.jpg,"Desire Street, also known as La Calle Del Deseo or Calle Deseo, is a 2011 Spanish, Chinese, and U.S. co-production drama film, written and directed by Roberto F. Canuto and Xu Xiaoxi. Headed by actress Alexandra Smothers, the film features an ensemble cast also starring Alejandra Walker, Ellen Clifford, Javier Lopez, Kjord Davis, and Jesus Guevara. Revolving around an eccentric and dysfunctional Mexican immigrant family living in Los Angeles, California, the film is divided into three parts, each one with a story reflecting a family member (mother Carmen, daughter Bess and son Andrea) and the relationship that they establish with a new neighbor, a prostitute (Lucy Bell).[1]"
Desperate Living,https://en.wikipedia.org/wiki/Desperate_Living,John Waters,John Waters,John Waters,Liz Renay;Mink Stole;Edith Massey;Susan Lowe;Mary Vivian Pearce;Jean Hill,Chris Lobingier;Allen Yanus,John Waters,Charles Roggero,New Line Cinema,"May 27, 1977 (1977-05-27)",90 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Desperate-living-poster.jpg/220px-Desperate-living-poster.jpg,"Desperate Living is a 1977 American comedy film directed, produced, and written by John Waters.[2] The film stars Liz Renay, Mink Stole, Edith Massey, Susan Lowe, Mary Vivian Pearce and Jean Hill."
Desperate Remedies,https://en.wikipedia.org/wiki/Desperate_Remedies_(film),Stewart Main;Peter Wells,Trishia Downie,Stewart Main;Peter Wells,Jennifer Ward-Lealand;Kevin Smith;Lisa Chappell;Cliff Curtis,NA,Leon Narbey,David Coulson,Miramax,26 November 1993 (1993-11-26),93 minutes,New Zealand,English,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Desperate_Remedies_FilmPoster.jpeg/220px-Desperate_Remedies_FilmPoster.jpeg,Desperate Remedies is a 1993 New Zealand drama film directed by Stewart Main and Peter Wells. It was screened in the Un Certain Regard section at the 1993 Cannes Film Festival.[1]
Destricted,https://en.wikipedia.org/wiki/Destricted,Marina Abramović;Matthew Barney;Marco Brambilla;Larry Clark;Gaspar Noé;Richard Prince;Sam Taylor-Wood;Marilyn Minter;Cecily Brown;Sante D'Orazio;Tunga,Mel Agace;Fredrik Carlström;Mark Fletcher;Andrew Hale;Andrew Herwitz;Igor Kecman;Jelena Mitrovic;Sigurjon Sighvatsson;Neville Wakefield,Matthew Barney;Richard Prince;Sam Taylor-Wood,see below,Jonathan Beblar;Andrew Hale;Matmos;Richard Prince,Aleksander Ilic;Seamus McGarvey;Peter Strietmann;Eric Voake,Alex Blatt;Marco Brambilla;Akiko Iwakawa-Grieve;Michael D. Thomson,Revolver Entertainment[1],January 2006 (2006-01) (Sundance);22 May 2006 (2006-05-22) (Cannes);15 September 2006 (2006-09-15) (UK);2 November 2010 (2010-11-02) (US),112 minutes (UK version);129 minutes (US version),United Kingdom;United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Destricted_FilmPoster.jpeg/220px-Destricted_FilmPoster.jpeg,Destricted is a British-American drama film series that explores the line where art and pornography intersect. The UK and US film releases had overlapping but different film lineups.
The Detective,https://en.wikipedia.org/wiki/The_Detective_(1968_film),Gordon Douglas,Aaron Rosenberg,NA,Frank Sinatra;Lee Remick;Jacqueline Bisset,Jerry Goldsmith,Joseph Biroc,Robert L. Simpson,20th Century Fox,"May 28, 1968 (1968-05-28)",114 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Film_Poster_for_The_Detective.jpg/220px-Film_Poster_for_The_Detective.jpg,"The Detective is a 1968 color neo-noir crime film in Panavision directed by Gordon Douglas, produced by Aaron Rosenberg and starring Frank Sinatra, based on the 1966 novel of the same name by Roderick Thorp."
Diary of a Lost Girl,https://en.wikipedia.org/wiki/Diary_of_a_Lost_Girl,G. W. Pabst,G. W. Pabst,Margarete Böhme;Rudolf Leonhardt,Louise Brooks;Fritz Rasp;André Roanne;Josef Ravensky;Franziska Kinz,NA,Sepp Allgeier;Fritz Arno Wagner,NA,NA,15 October 1929 (1929-10-15) (Germany),NA,Weimar Republic,Silent film;German intertitles,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Diary323.JPG/220px-Diary323.JPG,"Diary of a Lost Girl (German: Tagebuch einer Verlorenen) is a 1929 silent film directed by Georg Wilhelm Pabst and starring American silent star Louise Brooks. It is shot in black and white, and various versions of the film range from 79 minutes to 116 minutes in length. This was Brooks' second and last film with Pabst, and like their prior collaboration (1929's Pandora's Box), it is considered a classic film. The film was based on the controversial and bestselling novel of the same name, Tagebuch einer Verlorenen (1905) by Margarete Böhme. A previous version of the novel, directed in 1918 by Richard Oswald, is now considered a lost film."
The Dickson Experimental Sound Film,https://en.wikipedia.org/wiki/The_Dickson_Experimental_Sound_Film,William Dickson,NA,NA,William Dickson,Robert Planquette,William Heise,NA,"Thomas A. Edison, Inc.",NA,≈17 seconds,United States,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/DicksonFilm_Still.png/220px-DicksonFilm_Still.png,"The Dickson Experimental Sound Film is a film made by William Dickson in late 1894 or early 1895. It is the first known film with live-recorded sound and appears to be the first motion picture made for the Kinetophone, the proto-sound-film system developed by Dickson and Thomas Edison. (The Kinetophone, consisting of a Kinetoscope accompanied by a cylinder-playing phonograph, was not a true sound-film system, for there was no attempt to synchronize picture and sound throughout playback.) The film was produced at the ""Black Maria"", Edison's New Jersey film studio. There is no evidence that it was ever exhibited in its original format. Newly digitized and restored, it is the only surviving Kinetophone film with live-recorded sound."
Die Büchse der Pandora,https://en.wikipedia.org/wiki/Pandora%27s_Box_(1929_film),G. W. Pabst,Seymour Nebenzal,G. W. Pabst;Ladislaus Vajda,Louise Brooks;Francis Lederer;Carl Goetz;Alice Roberts,NA,Günther Krampf,NA,Süd-Film,"Germany:;January 30, 1929;United States:;December 1, 1929 (New York City, New York)",100–152 minutes (US);133 minutes (dir. cut),Germany,Silent film;German intertitles,https://upload.wikimedia.org/wikipedia/en/9/93/Pandora%27s_Box_%28film%29.png,"Pandora's Box (German: Die Büchse der Pandora) is a 1929 German silent melodrama film based on Frank Wedekind's plays Erdgeist (Earth Spirit, 1895) and Die Büchse der Pandora (1904).[1] Directed by Austrian filmmaker Georg Wilhelm Pabst, the film stars Louise Brooks, Fritz Kortner and Francis Lederer. Brooks' portrayal of a seductive, thoughtless young woman whose raw sexuality and uninhibited nature bring ruin to herself and those who love her, although initially unappreciated, eventually made the actress a star."
Die Konsequenz,https://en.wikipedia.org/wiki/Die_Konsequenz,Wolfgang Petersen,Bernd Eichinger,Alexander Ziegler and Wolfgang Petersen,Jürgen Prochnow;Ernst Hannawald;Walo Lüönd;Edith Volkmann;Erwin Kohlund;Hans Irle;Erwin Parker;Alexander Ziegler;Werner Schwuchow;Hans-Michael Rehberg;Elisabeth Fricker;Hans Putz;Wolf Gaudlitz;Thomas Haerin;Carsten Neumann;Franz Kollasch;Alexis von Hagemeister;Jan Groth;Gerold Nölli;Franz Stiefel,Nils Sustrate,Jörg-Michael Baldenius,Johannes Nikel,NA,"December 2, 1977 (1977-12-02)",100 minutes,West Germany,German,https://upload.wikimedia.org/wikipedia/en/2/23/Die_Konsequenz.jpg,Jürgen ProchnowErnst HannawaldWalo LüöndEdith VolkmannErwin KohlundHans IrleErwin ParkerAlexander ZieglerWerner SchwuchowHans-Michael RehbergElisabeth FrickerHans PutzWolf GaudlitzThomas HaerinCarsten NeumannFranz KollaschAlexis von HagemeisterJan GrothGerold Nölli
Die Mitte der Welt,https://en.wikipedia.org/wiki/Center_of_My_World,Jakob M. Erwa,NA,NA,Inka Friedrich;Sascha Alexander Geršak (de);Thomas Goritzki (de);Louis Hofmann;Svenja Jung;Nina Proll;Clemens Rehbein;Jannik Schümann;Sabine Timoteo;Ada Philine Stappenbeck,Paul Gallister (de),Ngo The Chau (de),Carlotta Kittel,NA,"November 10, 2016 (2016-11-10)",115 minutes,Germany,German,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Center_of_My_World_poster.jpg/220px-Center_of_My_World_poster.jpg,"Center of My World (German: Die Mitte der Welt) is a 2016 German coming-of-age romantic drama film directed by Jakob M. Erwa, based on the 1998 bestselling novel The Center of the World by Andreas Steinhöfel.[1]"
