country	correct_ratio_per_question_range	gender_bins	international_rank	question	correct_ratio_per_question	correct_ratio_per_question_female	correct_ratio_per_question_male	content_domain	cognitive_domain	topic_area	question_type	question_rank	diff_male_female	label	gender_bins_order	correct_ratio_per_question_range_order
mar	11-20	(-0.0142,0.00538]	32	M052204	0.17740232312565998	0.18151071025930102	0.17378351539225423	Number	Knowing	Whole Numbers	Multiple Choice	126	-0.007727194867046788	Which is a prime number	36	23
mar	11-20	(-0.0142,0.00538]	32	M052068	0.13780359028511088	0.13979706877113868	0.13604766633565044	Algebra	Knowing	Expressions and Operations	Multiple Choice	145	-0.0037494024354882416	Identify an equivalent expression	32	24
mar	11-20	(-0.0142,0.00538]	32	M062120	0.17712177121771217	0.17822838847385272	0.17604166666666668	Data and Chance	Knowing	Chance	Multiple Choice	128	-0.002186721807186043	Umut picks marbles without replacement	35	25
mar	11-20	(-0.0142,0.00538]	32	M042243	0.1648879402347919	0.16225165562913907	0.16752843846949328	Algebra	Knowing	Expressions and Operations	Multiple Choice	134	0.0052767828403542105	Which equation is satisfied	34	26
mar	11-20	(0.00538,0.0249]	32	M062152	0.19020172910662825	0.18513853904282115	0.1944739638682253	Number	Applying	Whole Numbers	Free Response	119	0.009335424825404143	Least number of crates for Harry's apples	22	27
mar	11-20	(0.00538,0.0249]	32	M052095	0.1440723019670388	0.13823857302118173	0.14852492370295015	Number	Knowing	Fractions, Decimals, and Integers	Free Response	139	0.01028635068176842	Complete the fraction sequence	18	28
mar	11-20	(0.00538,0.0249]	32	M062111A	0.18769883351007424	0.18191721132897604	0.19338159255429163	Number	Applying	Ratio, Proportion and Percent	Free Response	121	0.011464381225315595	Flowers Maria sold - percent tulips	21	29
mar	11-20	(0.00538,0.0249]	32	M062072	0.1992619926199262	0.19316969050160085	0.20520833333333333	Data and Chance	Applying	Data Interpretation	Free Response	114	0.012038642831732477	Graph for Charles' walk or bike to Olympic park	24	30
mar	11-20	(0.00538,0.0249]	32	M042268	0.14149947201689547	0.13493723849372385	0.14818763326226012	Geometry	Reasoning	Geometric Shapes	Multiple Choice	141	0.013250394768536261	Area of the triangle ABC	17	31
mar	11-20	(0.00538,0.0249]	32	M052142	0.15133689839572192	0.14367816091954022	0.1576305220883534	Number	Applying	Whole Numbers	Multiple Choice	137	0.013952361168813182	Height of a stack of stools	19	32
mar	11-20	(0.00538,0.0249]	32	M062146	0.14074855034264627	0.13340448239060831	0.14791666666666667	Number	Applying	Ratio, Proportion and Percent	Multiple Choice	142	0.014512184276058354	Find percent of fir trees in a park given a ratio	16	33
mar	11-20	(0.00538,0.0249]	32	M062115	0.1950564212788823	0.18757192174913695	0.20222446916076844	Data and Chance	Applying	Chance	Multiple Choice	117	0.014652547411631495	Marble maze with intersections	23	34
mar	11-20	(0.00538,0.0249]	32	M062173	0.14035087719298245	0.13232104121475055	0.14822546972860126	Geometry	Reasoning	Geometric Shapes	Free Response	143	0.01590442851385071	Find angle x on a folded piece of paper	15	35
mar	11-20	(0.00538,0.0249]	32	M062261	0.10706638115631692	0.09772727272727273	0.11550151975683891	Geometry	Reasoning	Geometric Shapes	Multiple Choice	161	0.017774247029566176	Find side x with 2 similar triangles	12	36
mar	11-20	(0.00538,0.0249]	32	M052039	0.17317845828933473	0.16347237880496054	0.1817279046673287	Geometry	Applying	Geometric Shapes	Free Response	130	0.018255525862368144	Length of line segment AB	20	37
mar	11-20	(0.00538,0.0249]	32	M052364	0.10876451953537487	0.09808342728297632	0.11817279046673287	Number	Applying	Whole Numbers	Free Response	160	0.02008936318375655	Answer to Robert's problem	13	38
mar	11-20	(0.00538,0.0249]	32	M062320	0.11181556195965418	0.10075566750629723	0.12114771519659936	Data and Chance	Applying	Data Interpretation	Multiple Choice	157	0.02039204769030213	Fishing histogram - proportion of fish released	14	39
mar	11-20	(0.0249,0.0445]	32	M052174A	0.11552729199788023	0.10237068965517242	0.12839248434237996	Number	Applying	Whole Numbers	Free Response	155	0.026021794687207542	How many kilocalories used	3	40
mar	11-20	(0.0249,0.0445]	32	M042074A	0.12150537634408602	0.10588235294117647	0.1337958374628345	Algebra	Reasoning	Relationships and Functions	Free Response	152	0.027913484521658025	Circles for patterns 4 & 30	6	41
mar	11-20	(0.0249,0.0445]	32	M062230	0.17636887608069166	0.16120906801007556	0.1891604675876727	Algebra	Knowing	Expressions and Operations	Multiple Choice	129	0.027951399577597125	Identify expression equivalent to (3x+6)/9x	8	42
mar	11-20	(0.0249,0.0445]	32	M042302A	0.10454065469904963	0.0899581589958159	0.11940298507462686	Number	Applying	Whole Numbers	Free Response	162	0.029444826078810965	Cost of phone for 1 year	2	43
mar	11-20	(0.0249,0.0445]	32	M062027	0.12044967880085652	0.10454545454545454	0.1347517730496454	Algebra	Reasoning	Relationships and Functions	Free Response	153	0.03020631850419085	y-value in table of points on straight line	5	44
mar	11-20	(0.0249,0.0445]	32	M042261	0.17311827956989248	0.15529411764705883	0.18830525272547077	Data and Chance	Knowing	Chance	Multiple Choice	131	0.03301113507841194	How likely it will rain	7	45
mar	11-20	(0.0249,0.0445]	32	M062250A	0.18977332630469163	0.1728922091782284	0.20625	Geometry	Applying	Geometric Measurement	Free Response	120	0.033357790821771593	Julia's hexagon box - decorated strip	9	46
mar	11-20	(0.0249,0.0445]	32	M052115	0.11615628299894404	0.09582863585118377	0.13406156901688182	Data and Chance	Applying	Data Interpretation	Multiple Choice	154	0.03823293316569805	Raspberry as favorite flavor	4	47
mar	11-20	(0.0445,0.0641]	32	M062351	0.1771948608137045	0.1534090909090909	0.19858156028368795	Algebra	Knowing	Relationships and Functions	Multiple Choice	127	0.04517246937459704	Identify line with positive slope	2	48
mar	11-20	(0.0445,0.0641]	32	M052048	0.11140443505807814	0.08568207440811725	0.13406156901688182	Geometry	Applying	Geometric Shapes	Free Response	158	0.048379494608764576	Lines of symmetry for pentagon	1	49
mar	21-30	(-0.112,-0.0925]	32	M052229	0.2930635838150289	0.3475609756097561	0.24395604395604395	Number	Knowing	Fractions, Decimals, and Integers	Free Response	68	-0.10360493165371212	Convert decimal to a fraction.	1	1
mar	21-30	(-0.0925,-0.0729]	32	M042023	0.2497331910352188	0.2913907284768212	0.20992761116856257	Number	Applying	Fractions, Decimals, and Integers	Free Response	94	-0.08146311730825861	Which is larger 7/12 or 2/3	2	2
mar	21-30	(-0.0729,-0.0533]	32	M062133	0.253056884635832	0.2809110629067245	0.2265135699373695	Data and Chance	Applying	Chance	Multiple Choice	92	-0.054397492969355005	Black and white marbles in a bag with replacement	1	3
mar	21-30	(-0.0533,-0.0338]	32	M062030	0.22997118155619597	0.25440806045340053	0.20935175345377258	Algebra	Applying	Relationships and Functions	Free Response	103	-0.045056306999627954	Find cost of taxi ride with table	8	4
mar	21-30	(-0.0533,-0.0338]	32	M052130	0.2379438261791203	0.25969827586206895	0.2160751565762004	Algebra	Knowing	Expressions and Operations	Multiple Choice	100	-0.04362311928586854	Equivalent algebraic expression	9	5
mar	21-30	(-0.0533,-0.0338]	32	M042240	0.26504751847940866	0.28661087866108786	0.24307036247334754	Algebra	Applying	Expressions and Operations	Multiple Choice	81	-0.043540516187740325	Value of x and y	11	6
mar	21-30	(-0.0533,-0.0338]	32	M052502	0.26285108638049814	0.2834051724137931	0.24321503131524008	Data and Chance	Applying	Data Interpretation	Free Response	83	-0.04019014109855301	Store with lowest price per pair	10	7
mar	21-30	(-0.0533,-0.0338]	32	M052073	0.2061473237943826	0.22629310344827586	0.18684759916492694	Algebra	Knowing	Expressions and Operations	Multiple Choice	112	-0.03944550428334892	Value of fractional expression	6	8
mar	21-30	(-0.0533,-0.0338]	32	M062245	0.22031166039763567	0.23935558112773303	0.2032355915065723	Geometry	Applying	Location and Movement	Multiple Choice	107	-0.036119989621160725	Coordinates of 4th vertex for Pia's rectangle	7	9
mar	21-30	(-0.0338,-0.0142]	32	M052063	0.2878612716763006	0.3048780487804878	0.2725274725274725	Algebra	Applying	Expressions and Operations	Multiple Choice	72	-0.032350576253015295	Expression for area of rectangle	28	10
mar	21-30	(-0.0338,-0.0142]	32	M052035	0.23475935828877006	0.2517241379310345	0.21987951807228914	Number	Knowing	Fractions, Decimals, and Integers	Free Response	102	-0.03184461985874534	Compare size of decimal numbers	23	11
mar	21-30	(-0.0338,-0.0142]	32	M052215	0.2529039070749736	0.26944757609921083	0.23833167825223436	Number	Knowing	Fractions, Decimals, and Integers	Free Response	93	-0.031115897846976465	Fraction of diagram shaded	24	12
mar	21-30	(-0.0338,-0.0142]	32	M052103	0.27754010695187165	0.2908045977011494	0.26506024096385544	Algebra	Knowing	Expressions and Operations	Multiple Choice	75	-0.025744356737293972	Value of y when x = 25	26	13
mar	21-30	(-0.0338,-0.0142]	32	M062123A	0.27963849016480596	0.2928416485900217	0.267223382045929	Data and Chance	Knowing	Characteristics of Data Sets	Multiple Choice	74	-0.025618266544092716	Relay race - mean time of runners	27	14
mar	21-30	(-0.0338,-0.0142]	32	M062040	0.2913343965975545	0.30260303687635576	0.28079331941544883	Geometry	Applying	Geometric Measurement	Multiple Choice	70	-0.02180971746090693	Estimate area of irregular shape on 1 cm grid	29	15
mar	21-30	(-0.0338,-0.0142]	32	M062154	0.2561939905113337	0.26360725720384204	0.24895833333333334	Number	Applying	Ratio, Proportion and Percent	Free Response	90	-0.014648923870508701	Number of eggs Minji needs to bake cookies	25	16
mar	21-30	(-0.0142,0.00538]	32	M052418B	0.2583815028901734	0.26463414634146343	0.25274725274725274	Data and Chance	Applying	Data Interpretation	Multiple Choice	88	-0.01188689359421069	Smartphone use listening to music	43	17
mar	21-30	(-0.0142,0.00538]	32	M042271	0.220168954593453	0.22594142259414227	0.21428571428571427	Geometry	Applying	Geometric Shapes	Multiple Choice	108	-0.011655708308427992	How many cubes were left	40	18
mar	21-30	(-0.0142,0.00538]	32	M052024	0.26705202312138726	0.27195121951219514	0.26263736263736265	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	80	-0.009313856874832493	Octagon with equivalent shading	46	19
mar	21-30	(-0.0142,0.00538]	32	M052121A	0.2711323763955343	0.2753623188405797	0.26754832146490337	Algebra	Reasoning	Relationships and Functions	Multiple Choice	77	-0.00781399737567634	Area of the 5th square	47	20
mar	21-30	(-0.0142,0.00538]	32	M042066	0.2022411953041622	0.2041942604856512	0.19958634953464321	Algebra	Reasoning	Relationships and Functions	Free Response	113	-0.004607910951007987	Missing term in the sequence	39	21
mar	21-30	(-0.0142,0.00538]	32	M042132	0.25967741935483873	0.2611764705882353	0.25867195242814667	Geometry	Reasoning	Geometric Shapes	Multiple Choice	85	-0.00250451816008862	What is the perimeter of the figure	45	22
mar	21-30	(-0.0142,0.00538]	32	M062341	0.24723247232472326	0.24759871931696906	0.246875	Algebra	Knowing	Relationships and Functions	Multiple Choice	97	-7.237193169690459e-4	Slope of line y=3x-1	42	23
mar	21-30	(-0.0142,0.00538]	32	M042252	0.23817204301075268	0.23529411764705882	0.2398414271555996	Data and Chance	Applying	Data Interpretation	Multiple Choice	99	0.004547309508540792	Speed time graph	41	24
mar	21-30	(-0.0142,0.00538]	32	M062244	0.25910064239828695	0.25681818181818183	0.2613981762917933	Geometry	Applying	Location and Movement	Free Response	87	0.0045799944736114595	Find coordinates of midpoint of line AB	44	25
mar	21-30	(-0.0142,0.00538]	32	M052419A	0.2866948257655755	0.28410372040586246	0.28897715988083417	Data and Chance	Knowing	Data Interpretation	Multiple Choice	73	0.004873439474971708	Girls playing video games	48	26
mar	21-30	(0.00538,0.0249]	32	M042060	0.25560298826040556	0.25165562913907286	0.25853154084798347	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	91	0.006875911708910609	Fraction by which price reduced by	26	27
mar	21-30	(0.00538,0.0249]	32	M042202	0.26715945089757126	0.26359832635983266	0.27078891257995735	Algebra	Applying	Equations and Inequalities	Multiple Choice	79	0.007190586220124695	Formula for K the cost of trip	27	28
mar	21-30	(0.00538,0.0249]	32	M042052	0.2930306230200634	0.28765690376569036	0.29850746268656714	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	69	0.010850558920876774	Ratio equivalent to 1:4	28	29
mar	21-30	(0.00538,0.0249]	32	M062219	0.23763955342902712	0.22559652928416485	0.24947807933194155	Number	Applying	Ratio, Proportion and Percent	Multiple Choice	101	0.0238815500477767	Katy enlarges a photo - new height	25	30
mar	21-30	(0.0249,0.0445]	32	M062150	0.26103136629452417	0.2472885032537961	0.2745302713987474	Number	Knowing	Fractions, Decimals, and Integers	Free Response	84	0.027241768144951328	Difference between low temperature in City X and Y	15	31
mar	21-30	(0.0249,0.0445]	32	M062300	0.22483940042826553	0.21022727272727273	0.23809523809523808	Geometry	Reasoning	Geometric Measurement	Free Response	106	0.027867965367965347	Draw a rectangle given area and perimeter	11	32
mar	21-30	(0.0249,0.0445]	32	M062242	0.22614654717975752	0.2113127001067236	0.240625	Algebra	Reasoning	Relationships and Functions	Multiple Choice	105	0.02931229989327641	Relationship a graph of a line in words	12	33
mar	21-30	(0.0249,0.0445]	32	M052418A	0.22658959537572254	0.21097560975609755	0.24065934065934066	Data and Chance	Applying	Data Interpretation	Multiple Choice	104	0.02968373090324311	Liv's smartphone use	13	34
mar	21-30	(0.0249,0.0445]	32	M052078	0.2082670906200318	0.19181034482758622	0.2244258872651357	Number	Applying	Ratio, Proportion and Percent	Multiple Choice	111	0.032615542437549494	Percentage of money John saves	10	35
mar	21-30	(0.0249,0.0445]	32	M042114B	0.2629032258064516	0.24235294117647058	0.2804757185332012	Number	Applying	Ratio, Proportion and Percent	Free Response	82	0.038122777356730614	Number of papers in a 28mm stack	16	36
mar	21-30	(0.0249,0.0445]	32	M062132B	0.2569593147751606	0.23636363636363636	0.2755825734549139	Data and Chance	Applying	Chance	Multiple Choice	89	0.03921893709127752	Mobile phone factory - expected vs. actual faulty	14	37
mar	21-30	(0.0249,0.0445]	32	M062132A	0.2682012847965739	0.24659090909090908	0.2877406281661601	Data and Chance	Knowing	Chance	Free Response	78	0.041149719075251	Mobile phone factory - number faulty in a batch	17	38
mar	21-30	(0.0445,0.0641]	32	M042257	0.24838709677419354	0.2223529411764706	0.2705649157581764	Geometry	Reasoning	Geometric Shapes	Multiple Choice	95	0.04821197458170584	Which 2 shapes fit together	5	39
mar	21-30	(0.0445,0.0641]	32	M052134	0.2893481717011129	0.2640086206896552	0.31315240083507306	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	71	0.04914378014541787	How much hotter is city A than B	7	40
mar	21-30	(0.0445,0.0641]	32	M062153	0.2773064687168611	0.25054466230936817	0.3019648397104447	Number	Applying	Fractions, Decimals, and Integers	Multiple Choice	76	0.05142017740107652	Peter, Mark, and Sarah share zeds	6	41
mar	21-30	(0.0445,0.0641]	32	M042109	0.29838709677419356	0.26941176470588235	0.32210109018830524	Algebra	Applying	Equations and Inequalities	Multiple Choice	66	0.05268932548242289	Formula for distance traveled	8	42
mar	21-30	(0.0445,0.0641]	32	M042234	0.24759871931696906	0.2196467991169978	0.27404343329886244	Algebra	Knowing	Equations and Inequalities	Multiple Choice	96	0.054396634181864634	What is the value of x	4	43
mar	21-30	(0.0445,0.0641]	32	M052036	0.24059353471118178	0.2122844827586207	0.26826722338204595	Geometry	Applying	Geometric Measurement	Free Response	98	0.05598274062342526	Draw an angle ABC of 135 degrees	3	44
